PS,condition,cell line,[PS] /  ?M,[PS] / ?g/ml,abs @ 450 nm bg sub,abs @ 450 nm no bg sub,comment
C5SHU,dark,NCI-H28,0,0,0.195,0.298,vc
C5SHU,dark,NCI-H28,0,0,0.177,0.28,vc
C5SHU,dark,NCI-H28,0,0,0.26,0.363,vc
C5SHU,dark,NCI-H28,4.633920297,5,0.174,0.277,
C5SHU,dark,NCI-H28,4.633920297,5,0.22,0.323,
C5SHU,dark,NCI-H28,4.633920297,5,0.184,0.287,
C5SHU,dark,NCI-H28,9.267840593,10,0.15,0.253,
C5SHU,dark,NCI-H28,9.267840593,10,0.08,0.183,
C5SHU,dark,NCI-H28,9.267840593,10,0.116,0.219,
C5SHU,dark,NCI-H28,13.90176089,15,0.091,0.194,
C5SHU,dark,NCI-H28,13.90176089,15,0.038,0.141,
C5SHU,dark,NCI-H28,13.90176089,15,0.152,0.255,
C5SHU,dark,NCI-H28,18.53568119,20,0.077,0.18,
C5SHU,dark,NCI-H28,18.53568119,20,0.085,0.188,
C5SHU,dark,NCI-H28,18.53568119,20,0.131,0.234,
C5SHU,dark,NCI-H28,0,0,-0.002,0.101,media blank
C5SHU,dark,NCI-H28,0,0,-0.01,0.093,media blank
C5SHU,dark,NCI-H28,0,0,0.012,0.115,media blank
C5SHU,white light,NCI-H28,0,0,0.257333333,0.363,vc
C5SHU,white light,NCI-H28,0,0,0.297333333,0.403,vc
C5SHU,white light,NCI-H28,0,0,0.291333333,0.397,vc
C5SHU,white light,NCI-H28,4.633920297,5,0.009333333,0.115,
C5SHU,white light,NCI-H28,4.633920297,5,0.015333333,0.121,
C5SHU,white light,NCI-H28,4.633920297,5,0.093333333,0.199,
C5SHU,white light,NCI-H28,9.267840593,10,0.035333333,0.141,
C5SHU,white light,NCI-H28,9.267840593,10,0.145333333,0.251,
C5SHU,white light,NCI-H28,9.267840593,10,0.016333333,0.122,
C5SHU,white light,NCI-H28,13.90176089,15,0.020333333,0.126,
C5SHU,white light,NCI-H28,13.90176089,15,-0.002666667,0.103,
C5SHU,white light,NCI-H28,13.90176089,15,0.001333333,0.107,
C5SHU,white light,NCI-H28,18.53568119,20,-0.002666667,0.103,
C5SHU,white light,NCI-H28,18.53568119,20,-0.002666667,0.103,
C5SHU,white light,NCI-H28,18.53568119,20,0.013333333,0.119,
C5SHU,white light,NCI-H28,0,0,-0.007666667,0.098,media blank
C5SHU,white light,NCI-H28,0,0,-0.007666667,0.098,media blank
C5SHU,white light,NCI-H28,0,0,0.015333333,0.121,media blank
C5SHU,red light,NCI-H28,0,0,0.255,0.376,vc
C5SHU,red light,NCI-H28,0,0,0.286,0.407,vc
C5SHU,red light,NCI-H28,0,0,0.217,0.338,vc
C5SHU,red light,NCI-H28,4.633920297,5,0.096,0.217,
C5SHU,red light,NCI-H28,4.633920297,5,0.076,0.197,
C5SHU,red light,NCI-H28,4.633920297,5,0.02,0.141,
C5SHU,red light,NCI-H28,9.267840593,10,0.145,0.266,
C5SHU,red light,NCI-H28,9.267840593,10,0.147,0.268,
C5SHU,red light,NCI-H28,9.267840593,10,0.116,0.237,
C5SHU,red light,NCI-H28,13.90176089,15,0.048,0.169,
C5SHU,red light,NCI-H28,13.90176089,15,0.037,0.158,
C5SHU,red light,NCI-H28,13.90176089,15,0.086,0.207,
C5SHU,red light,NCI-H28,18.53568119,20,0,0.121,
C5SHU,red light,NCI-H28,18.53568119,20,0.02,0.141,
C5SHU,red light,NCI-H28,18.53568119,20,0.158,0.279,
C5SHU,red light,NCI-H28,0,0,0.004,0.125,media blank
C5SHU,red light,NCI-H28,0,0,-0.012,0.109,media blank
C5SHU,red light,NCI-H28,0,0,0.008,0.129,media blank
